0 0:0.00434253951711 1:0.00434253951711 2:0.00434253951711 3:0.0131144693417 4:0.0131144693417 5:0.00434253951711 6:0.00434253951711 7:0.0131144693417 8:0.00434253951711 9:0.00434253951711 10:0.00434253951711 11:0.00434253951711 12:0.00434253951711 13:0.0131144693417 14:0.00434253951711 15:0.00434253951711 16:0.065746048289 17:0.00434253951711 18:0.00434253951711 19:0.00434253951711 20:0.00434253951711 21:0.00434253951711 22:0.00434253951711 23:0.00434253951711 24:0.00434253951711 25:0.00434253951711 26:0.00434253951711 27:0.00434253951711 28:0.00434253951711 29:0.0131144693417 30:0.00434253951711 31:0.00434253951711 32:0.00434253951711 33:0.0131144693417 34:0.00434253951711 35:0.00434253951711 36:0.0306583289908 37:0.00434253951711 38:0.0131144693417 39:0.00434253951711 40:0.00434253951711 41:0.00434253951711 42:0.00434253951711 43:0.0218863991662 44:0.0131144693417 45:0.00434253951711 46:0.00434253951711 47:0.0131144693417 48:0.0569741184645 49:0.0394302588154 50:0.0131144693417 51:0.00434253951711 52:0.00434253951711 53:0.00434253951711 54:0.00434253951711 55:0.0131144693417 56:0.00434253951711 57:0.0131144693417 58:0.00434253951711 59:0.00434253951711 60:0.00434253951711 61:0.00434253951711 62:0.00434253951711 63:0.00434253951711 64:0.0306583289908 65:0.0131144693417 66:0.00434253951711 67:0.0131144693417 68:0.00434253951711 69:0.0218863991662 70:0.00434253951711 71:0.0131144693417 72:0.00434253951711 73:0.00434253951711 74:0.00434253951711 75:0.00434253951711 76:0.0218863991662 77:0.00434253951711 78:0.00434253951711 79:0.0218863991662 80:0.0218863991662 81:0.0131144693417 82:0.0394302588154 83:0.0218863991662 84:0.00434253951711 85:0.00434253951711 86:0.00434253951711 87:0.00434253951711 88:0.00434253951711 89:0.00434253951711 90:0.00434253951711 91:0.0131144693417 92:0.0306583289908 93:0.00434253951711 94:0.0394302588154 95:0.00434253951711 96:0.0131144693417 97:0.00434253951711 98:0.00434253951711 99:0.00434253951711 100:0.00434253951711
0 0:0.00442008486563 1:0.00442008486563 2:0.00442008486563 3:0.0133486562942 4:0.0312057991513 5:0.0133486562942 6:0.00442008486563 7:0.0133486562942 8:0.00442008486563 9:0.0133486562942 10:0.00442008486563 11:0.0222772277228 12:0.0222772277228 13:0.00442008486563 14:0.00442008486563 15:0.00442008486563 16:0.0401343705799 17:0.00442008486563 18:0.00442008486563 19:0.00442008486563 20:0.00442008486563 21:0.00442008486563 22:0.00442008486563 23:0.00442008486563 24:0.00442008486563 25:0.00442008486563 26:0.00442008486563 27:0.0133486562942 28:0.00442008486563 29:0.00442008486563 30:0.00442008486563 31:0.00442008486563 32:0.00442008486563 33:0.0312057991513 34:0.00442008486563 35:0.00442008486563 36:0.00442008486563 37:0.00442008486563 38:0.0133486562942 39:0.0222772277228 40:0.0133486562942 41:0.0312057991513 42:0.0133486562942 43:0.00442008486563 44:0.00442008486563 45:0.00442008486563 46:0.00442008486563 47:0.0222772277228 48:0.0312057991513 49:0.00442008486563 50:0.00442008486563 51:0.00442008486563 52:0.00442008486563 53:0.00442008486563 54:0.00442008486563 55:0.00442008486563 56:0.00442008486563 57:0.00442008486563 58:0.00442008486563 59:0.00442008486563 60:0.00442008486563 61:0.00442008486563 62:0.00442008486563 63:0.00442008486563 64:0.00442008486563 65:0.0133486562942 66:0.0133486562942 67:0.00442008486563 68:0.0133486562942 69:0.00442008486563 70:0.00442008486563 71:0.00442008486563 72:0.00442008486563 73:0.00442008486563 74:0.00442008486563 75:0.0222772277228 76:0.0490629420085 77:0.00442008486563 78:0.00442008486563 79:0.0401343705799 80:0.00442008486563 81:0.00442008486563 82:0.0133486562942 83:0.0401343705799 84:0.0133486562942 85:0.00442008486563 86:0.00442008486563 87:0.00442008486563 88:0.00442008486563 89:0.00442008486563 90:0.00442008486563 91:0.00442008486563 92:0.0222772277228 93:0.0222772277228 94:0.00442008486563 95:0.0312057991513 96:0.00442008486563 97:0.00442008486563 98:0.00442008486563 99:0.00442008486563 100:0.0312057991513
0 0:0.0020042490079 1:0.0020042490079 2:0.0020042490079 3:0.269210726741 4:0.0020042490079 5:0.0020042490079 6:0.00605283200385 7:0.0020042490079 8:0.0020042490079 9:0.0020042490079 10:0.0020042490079 11:0.0020042490079 12:0.0020042490079 13:0.0020042490079 14:0.0020042490079 15:0.0020042490079 16:0.0020042490079 17:0.00605283200385 18:0.00605283200385 19:0.0020042490079 20:0.0020042490079 21:0.0101014149998 22:0.0101014149998 23:0.0020042490079 24:0.00605283200385 25:0.00605283200385 26:0.0101014149998 27:0.00605283200385 28:0.0020042490079 29:0.00605283200385 30:0.0020042490079 31:0.0020042490079 32:0.0101014149998 33:0.0262957469836 34:0.0141499979958 35:0.0020042490079 36:0.0020042490079 37:0.305647973704 38:0.0020042490079 39:0.0020042490079 40:0.00605283200385 41:0.0020042490079 42:0.0101014149998 43:0.0020042490079 44:0.0020042490079 45:0.0020042490079 46:0.0020042490079 47:0.0020042490079 48:0.0020042490079 49:0.0020042490079 50:0.0020042490079 51:0.0020042490079 52:0.00605283200385 53:0.00605283200385 54:0.0020042490079 55:0.0020042490079 56:0.0020042490079 57:0.0020042490079 58:0.0020042490079 59:0.0020042490079 60:0.0020042490079 61:0.0020042490079 62:0.0020042490079 63:0.0020042490079 64:0.0141499979958 65:0.00605283200385 66:0.0020042490079 67:0.00605283200385 68:0.0020042490079 69:0.0020042490079 70:0.0181985809917 71:0.0020042490079 72:0.0020042490079 73:0.0020042490079 74:0.0020042490079 75:0.0020042490079 76:0.0020042490079 77:0.0020042490079 78:0.0020042490079 79:0.0020042490079 80:0.0020042490079 81:0.0020042490079 82:0.0020042490079 83:0.0303443299796 84:0.0020042490079 85:0.0020042490079 86:0.0101014149998 87:0.0020042490079 88:0.0020042490079 89:0.0262957469836 90:0.0020042490079 91:0.0020042490079 92:0.0020042490079 93:0.0101014149998 94:0.00605283200385 95:0.0020042490079 96:0.0020042490079 97:0.0020042490079 98:0.0020042490079 99:0.0020042490079 100:0.0020042490079
0 0:0.00315318156019 1:0.00315318156019 2:0.00315318156019 3:0.449013054172 4:0.00952260831179 5:0.00315318156019 6:0.00952260831179 7:0.00952260831179 8:0.00315318156019 9:0.00315318156019 10:0.00315318156019 11:0.00315318156019 12:0.00315318156019 13:0.00315318156019 14:0.00315318156019 15:0.00315318156019 16:0.00315318156019 17:0.022261461815 18:0.00315318156019 19:0.00952260831179 20:0.00315318156019 21:0.00952260831179 22:0.0158920350634 23:0.00315318156019 24:0.00315318156019 25:0.00315318156019 26:0.00952260831179 27:0.00315318156019 28:0.00315318156019 29:0.00315318156019 30:0.00315318156019 31:0.022261461815 32:0.00952260831179 33:0.00315318156019 34:0.0158920350634 35:0.00315318156019 36:0.00315318156019 37:0.00315318156019 38:0.00315318156019 39:0.00315318156019 40:0.00952260831179 41:0.00315318156019 42:0.00952260831179 43:0.00315318156019 44:0.00315318156019 45:0.00952260831179 46:0.00315318156019 47:0.00315318156019 48:0.00952260831179 49:0.00315318156019 50:0.00315318156019 51:0.00315318156019 52:0.00315318156019 53:0.00952260831179 54:0.00315318156019 55:0.00315318156019 56:0.00315318156019 57:0.00952260831179 58:0.00315318156019 59:0.00315318156019 60:0.00952260831179 61:0.00315318156019 62:0.00315318156019 63:0.00315318156019 64:0.00315318156019 65:0.0286308885666 66:0.00315318156019 67:0.00315318156019 68:0.00315318156019 69:0.00315318156019 70:0.00315318156019 71:0.00315318156019 72:0.00315318156019 73:0.00315318156019 74:0.00315318156019 75:0.00315318156019 76:0.00315318156019 77:0.00315318156019 78:0.00315318156019 79:0.00315318156019 80:0.00315318156019 81:0.00315318156019 82:0.00952260831179 83:0.0158920350634 84:0.00315318156019 85:0.00315318156019 86:0.00315318156019 87:0.00952260831179 88:0.00315318156019 89:0.00952260831179 90:0.00315318156019 91:0.00315318156019 92:0.00315318156019 93:0.00315318156019 94:0.0158920350634 95:0.00315318156019 96:0.00952260831179 97:0.00315318156019 98:0.00315318156019 99:0.00952260831179 100:0.00315318156019
1 0:0.00743805723856 1:0.00246293286045 2:0.00743805723856 3:0.027338554751 4:0.00246293286045 5:0.00246293286045 6:0.00246293286045 7:0.00246293286045 8:0.00246293286045 9:0.00246293286045 10:0.00246293286045 11:0.00246293286045 12:0.00246293286045 13:0.00743805723856 14:0.00246293286045 15:0.0820649229102 16:0.0522141766415 17:0.0124131816167 18:0.0173883059948 19:0.0173883059948 20:0.00246293286045 21:0.00246293286045 22:0.00743805723856 23:0.00743805723856 24:0.00246293286045 25:0.00246293286045 26:0.00246293286045 27:0.00246293286045 28:0.00246293286045 29:0.00246293286045 30:0.0173883059948 31:0.00743805723856 32:0.00743805723856 33:0.00246293286045 34:0.00246293286045 35:0.00246293286045 36:0.00246293286045 37:0.0571893010197 38:0.00743805723856 39:0.00246293286045 40:0.00246293286045 41:0.00246293286045 42:0.00246293286045 43:0.0124131816167 44:0.00743805723856 45:0.00246293286045 46:0.0124131816167 47:0.00246293286045 48:0.00246293286045 49:0.027338554751 50:0.00743805723856 51:0.00246293286045 52:0.00246293286045 53:0.00246293286045 54:0.00246293286045 55:0.00246293286045 56:0.00743805723856 57:0.00246293286045 58:0.00246293286045 59:0.00246293286045 60:0.0124131816167 61:0.00246293286045 62:0.0173883059948 63:0.00246293286045 64:0.00743805723856 65:0.00246293286045 66:0.00246293286045 67:0.00246293286045 68:0.00246293286045 69:0.00246293286045 70:0.00246293286045 71:0.0124131816167 72:0.00246293286045 73:0.00246293286045 74:0.00743805723856 75:0.00246293286045 76:0.00246293286045 77:0.00743805723856 78:0.00246293286045 79:0.00246293286045 80:0.0124131816167 81:0.00246293286045 82:0.0571893010197 83:0.027338554751 84:0.00246293286045 85:0.00246293286045 86:0.00246293286045 87:0.111915669179 88:0.00246293286045 89:0.027338554751 90:0.00246293286045 91:0.00246293286045 92:0.0124131816167 93:0.00246293286045 94:0.0173883059948 95:0.00246293286045 96:0.00246293286045 97:0.072114674154 98:0.0124131816167 99:0.00246293286045 100:0.0124131816167
1 0:0.0112409737214 1:0.00372217672895 2:0.00372217672895 3:0.00372217672895 4:0.0112409737214 5:0.00372217672895 6:0.00372217672895 7:0.00372217672895 8:0.0187597707139 9:0.00372217672895 10:0.00372217672895 11:0.00372217672895 12:0.00372217672895 13:0.0112409737214 14:0.00372217672895 15:0.0713913496613 16:0.0187597707139 17:0.00372217672895 18:0.0488349586838 19:0.00372217672895 20:0.0112409737214 21:0.00372217672895 22:0.00372217672895 23:0.00372217672895 24:0.00372217672895 25:0.00372217672895 26:0.00372217672895 27:0.00372217672895 28:0.0112409737214 29:0.00372217672895 30:0.0112409737214 31:0.00372217672895 32:0.0112409737214 33:0.00372217672895 34:0.00372217672895 35:0.00372217672895 36:0.00372217672895 37:0.00372217672895 38:0.00372217672895 39:0.00372217672895 40:0.00372217672895 41:0.00372217672895 42:0.00372217672895 43:0.00372217672895 44:0.00372217672895 45:0.00372217672895 46:0.00372217672895 47:0.00372217672895 48:0.00372217672895 49:0.00372217672895 50:0.0713913496613 51:0.00372217672895 52:0.00372217672895 53:0.0112409737214 54:0.00372217672895 55:0.00372217672895 56:0.00372217672895 57:0.00372217672895 58:0.0187597707139 59:0.00372217672895 60:0.00372217672895 61:0.00372217672895 62:0.0187597707139 63:0.00372217672895 64:0.00372217672895 65:0.00372217672895 66:0.00372217672895 67:0.00372217672895 68:0.0112409737214 69:0.00372217672895 70:0.00372217672895 71:0.0187597707139 72:0.00372217672895 73:0.00372217672895 74:0.0112409737214 75:0.00372217672895 76:0.0112409737214 77:0.00372217672895 78:0.00372217672895 79:0.00372217672895 80:0.0187597707139 81:0.00372217672895 82:0.00372217672895 83:0.0337973646989 84:0.00372217672895 85:0.00372217672895 86:0.00372217672895 87:0.116504131616 88:0.00372217672895 89:0.00372217672895 90:0.00372217672895 91:0.00372217672895 92:0.0262785677064 93:0.00372217672895 94:0.0187597707139 95:0.00372217672895 96:0.00372217672895 97:0.0789101466538 98:0.0187597707139 99:0.00372217672895 100:0.00372217672895
2 0:0.00029786372139 1:0.00029786372139 2:0.00029786372139 3:0.0869404629994 4:0.00029786372139 5:0.00029786372139 6:0.00029786372139 7:0.0177467205204 8:0.00029786372139 9:0.000899548438598 10:0.000899548438598 11:0.00691639561068 12:0.00029786372139 13:0.00029786372139 14:0.00029786372139 15:0.00270460259022 16:0.0171450358032 17:0.0081197650451 18:0.00029786372139 19:0.159142629064 20:0.0159416663688 21:0.00210291787301 22:0.00029786372139 23:0.016543351086 24:0.00029786372139 25:0.0081197650451 26:0.00029786372139 27:0.00029786372139 28:0.00270460259022 29:0.00390797202464 30:0.000899548438598 31:0.00210291787301 32:0.00029786372139 33:0.00210291787301 34:0.00150123315581 35:0.00210291787301 36:0.0171450358032 37:0.00029786372139 38:0.0153399816516 39:0.000899548438598 40:0.0147382969344 41:0.00029786372139 42:0.00270460259022 43:0.0273736759958 44:0.00450965674185 45:0.00029786372139 46:0.0111281886311 47:0.00029786372139 48:0.00450965674185 49:0.00270460259022 50:0.00029786372139 51:0.00029786372139 52:0.0833303546961 53:0.000899548438598 54:0.00571302617626 55:0.00210291787301 56:0.00029786372139 57:0.00029786372139 58:0.204870667572 59:0.00029786372139 60:0.00029786372139 61:0.00029786372139 62:0.00029786372139 63:0.000899548438598 64:0.00029786372139 65:0.00029786372139 66:0.00029786372139 67:0.0321871537334 68:0.00150123315581 69:0.00631471089347 70:0.00029786372139 71:0.00029786372139 72:0.00029786372139 73:0.00029786372139 74:0.00029786372139 75:0.00029786372139 76:0.00029786372139 77:0.00029786372139 78:0.00029786372139 79:0.00029786372139 80:0.0460259022292 81:0.00029786372139 82:0.00511134145906 83:0.000899548438598 84:0.00029786372139 85:0.00029786372139 86:0.00029786372139 87:0.00029786372139 88:0.0544494882701 89:0.000899548438598 90:0.0544494882701 91:0.00150123315581 92:0.00029786372139 93:0.00210291787301 94:0.00029786372139 95:0.00932313447951 96:0.00631471089347 97:0.00029786372139 98:0.00631471089347 99:0.00029786372139 100:0.00029786372139
2 0:0.00252576278036 1:0.00252576278036 2:0.00252576278036 3:0.012729844413 4:0.00252576278036 5:0.00252576278036 6:0.00252576278036 7:0.00252576278036 8:0.00252576278036 9:0.00252576278036 10:0.00252576278036 11:0.00252576278036 12:0.00252576278036 13:0.0178318852293 14:0.00252576278036 15:0.00252576278036 16:0.012729844413 17:0.028035966862 18:0.00762780359669 19:0.012729844413 20:0.00252576278036 21:0.00252576278036 22:0.00252576278036 23:0.0382400484946 24:0.00252576278036 25:0.043342089311 26:0.00252576278036 27:0.00252576278036 28:0.00762780359669 29:0.00252576278036 30:0.00252576278036 31:0.00252576278036 32:0.00252576278036 33:0.00252576278036 34:0.00252576278036 35:0.00252576278036 36:0.00252576278036 37:0.00252576278036 38:0.00252576278036 39:0.0178318852293 40:0.00252576278036 41:0.00252576278036 42:0.00252576278036 43:0.012729844413 44:0.00252576278036 45:0.00252576278036 46:0.0382400484946 47:0.012729844413 48:0.00252576278036 49:0.00252576278036 50:0.00252576278036 51:0.00252576278036 52:0.00252576278036 53:0.0229339260457 54:0.00252576278036 55:0.00252576278036 56:0.00252576278036 57:0.00252576278036 58:0.00252576278036 59:0.00252576278036 60:0.00762780359669 61:0.00252576278036 62:0.00252576278036 63:0.00762780359669 64:0.00252576278036 65:0.00252576278036 66:0.00252576278036 67:0.446403313801 68:0.00252576278036 69:0.00252576278036 70:0.00252576278036 71:0.00252576278036 72:0.00252576278036 73:0.00252576278036 74:0.00252576278036 75:0.00252576278036 76:0.00252576278036 77:0.00762780359669 78:0.00762780359669 79:0.00762780359669 80:0.00252576278036 81:0.00252576278036 82:0.00252576278036 83:0.00252576278036 84:0.00252576278036 85:0.00252576278036 86:0.00252576278036 87:0.00252576278036 88:0.00252576278036 89:0.00252576278036 90:0.00252576278036 91:0.00762780359669 92:0.00252576278036 93:0.00252576278036 94:0.00252576278036 95:0.012729844413 96:0.00252576278036 97:0.00252576278036 98:0.00252576278036 99:0.00762780359669 100:0.00762780359669
2 0:0.00215238915196 1:0.00650021523892 2:0.00215238915196 3:0.0151958674128 4:0.00215238915196 5:0.00215238915196 6:0.00215238915196 7:0.00215238915196 8:0.00215238915196 9:0.00215238915196 10:0.00215238915196 11:0.00215238915196 12:0.00650021523892 13:0.0151958674128 14:0.00215238915196 15:0.00215238915196 16:0.00650021523892 17:0.00215238915196 18:0.0108480413259 19:0.0325871717607 20:0.0238915195867 21:0.00215238915196 22:0.00215238915196 23:0.0325871717607 24:0.00215238915196 25:0.0282393456737 26:0.00215238915196 27:0.00215238915196 28:0.00215238915196 29:0.00215238915196 30:0.00650021523892 31:0.0499784761085 32:0.00215238915196 33:0.00215238915196 34:0.00215238915196 35:0.00215238915196 36:0.00215238915196 37:0.00215238915196 38:0.00215238915196 39:0.00215238915196 40:0.0456306500215 41:0.00215238915196 42:0.00215238915196 43:0.00215238915196 44:0.00215238915196 45:0.00215238915196 46:0.0456306500215 47:0.0108480413259 48:0.00215238915196 49:0.00215238915196 50:0.0108480413259 51:0.00215238915196 52:0.00650021523892 53:0.0282393456737 54:0.00650021523892 55:0.0108480413259 56:0.00215238915196 57:0.00215238915196 58:0.00215238915196 59:0.00215238915196 60:0.00650021523892 61:0.00215238915196 62:0.00215238915196 63:0.00215238915196 64:0.00215238915196 65:0.00215238915196 66:0.00215238915196 67:0.328239345674 68:0.00650021523892 69:0.00215238915196 70:0.00650021523892 71:0.00650021523892 72:0.00215238915196 73:0.00215238915196 74:0.00650021523892 75:0.0108480413259 76:0.0108480413259 77:0.00215238915196 78:0.00215238915196 79:0.00215238915196 80:0.00215238915196 81:0.00215238915196 82:0.00650021523892 83:0.00215238915196 84:0.00215238915196 85:0.00215238915196 86:0.00650021523892 87:0.00650021523892 88:0.00215238915196 89:0.00215238915196 90:0.00650021523892 91:0.00215238915196 92:0.00215238915196 93:0.00215238915196 94:0.0108480413259 95:0.0195436934998 96:0.00650021523892 97:0.00215238915196 98:0.00650021523892 99:0.00650021523892 100:0.00650021523892
2 0:0.00178718232834 1:0.00178718232834 2:0.00539729063159 3:0.00178718232834 4:0.00178718232834 5:0.00178718232834 6:0.00178718232834 7:0.0920398899096 8:0.00178718232834 9:0.00178718232834 10:0.00178718232834 11:0.00178718232834 12:0.00539729063159 13:0.00178718232834 14:0.00178718232834 15:0.00178718232834 16:0.00900739893484 17:0.0162276155413 18:0.00178718232834 19:0.453050720234 20:0.00178718232834 21:0.00178718232834 22:0.00178718232834 23:0.00178718232834 24:0.00539729063159 25:0.00178718232834 26:0.00178718232834 27:0.00178718232834 28:0.00178718232834 29:0.00178718232834 30:0.00178718232834 31:0.00178718232834 32:0.00539729063159 33:0.00178718232834 34:0.00178718232834 35:0.0270579404511 36:0.00178718232834 37:0.00178718232834 38:0.00178718232834 39:0.00178718232834 40:0.00539729063159 41:0.00178718232834 42:0.00178718232834 43:0.00900739893484 44:0.00178718232834 45:0.00178718232834 46:0.00178718232834 47:0.00178718232834 48:0.00178718232834 49:0.00178718232834 50:0.0270579404511 51:0.00178718232834 52:0.00178718232834 53:0.00178718232834 54:0.00178718232834 55:0.00178718232834 56:0.00178718232834 57:0.00178718232834 58:0.0667691317868 59:0.00178718232834 60:0.00178718232834 61:0.00178718232834 62:0.00178718232834 63:0.00178718232834 64:0.00178718232834 65:0.00539729063159 66:0.00178718232834 67:0.0956499982128 68:0.00178718232834 69:0.00178718232834 70:0.00178718232834 71:0.00178718232834 72:0.00178718232834 73:0.00178718232834 74:0.00178718232834 75:0.00178718232834 76:0.00178718232834 77:0.00178718232834 78:0.00178718232834 79:0.00178718232834 80:0.00178718232834 81:0.00178718232834 82:0.00178718232834 83:0.00900739893484 84:0.00178718232834 85:0.00178718232834 86:0.00178718232834 87:0.00178718232834 88:0.00539729063159 89:0.00178718232834 90:0.00178718232834 91:0.00178718232834 92:0.00178718232834 93:0.00178718232834 94:0.00539729063159 95:0.00539729063159 96:0.00178718232834 97:0.00178718232834 98:0.00178718232834 99:0.00178718232834 100:0.00178718232834
